Method,Anatomical site,N images,N patients,N effective pairs,"ICC(1,1)","95% CI ICC(1,1)","ICC(2,1) absolute agreement","95% CI ICC(2,1)","ICC(3,1) consistency","95% CI ICC(3,1)",Delta ICC3-ICC2,Bias ITA,MAE ITA,RMSE ITA,SD differences,Lower LoA,Upper LoA
delightsam-dermoscopy,dorsal forearm,61,30,61,0.3480803791,"[0.0645601689, 0.6221369013]",0.3446875634,"[0.0744550801, 0.6278470669]",0.3411367754,"[0.0764330430, 0.6516309931]",-0.0035507880,1.6885577866,45.1355656309,60.8407016725,61.3219815005,-118.5025259544,121.8796415277
delightsam-dermoscopy,head/neck,68,32,68,0.3362696372,"[0.1650684570, 0.5269126783]",0.3331577271,"[0.1680466616, 0.5272690270]",0.3300627187,"[0.1685107049, 0.5285115217]",-0.0030950084,-1.9546799133,48.8893454780,67.0121938860,67.4817065535,-134.2188247580,130.3094649315
delightsam-dermoscopy,lateral torso,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
delightsam-dermoscopy,lower back,45,24,45,0.6080582909,"[0.3371431234, 0.7141562827]",0.6340938423,"[0.4189052411, 0.7286849426]",0.7312424779,"[0.5332081073, 0.8501299750]",0.0971486356,27.9987979445,40.1922927918,45.5861138944,36.3809544375,-43.3078727529,99.3054686420
delightsam-dermoscopy,lower leg,170,44,170,0.4588472854,"[0.3202196364, 0.5869349872]",0.4673310073,"[0.3299887835, 0.5962499398]",0.4824581255,"[0.3372815772, 0.6319095530]",0.0151271182,16.4416104028,50.8532988341,64.7896930962,62.8539314652,-106.7520952689,139.6353160746
delightsam-dermoscopy,palms/soles,79,32,79,0.2395572865,"[0.0867692713, 0.3611322850]",0.2738865200,"[0.1404044382, 0.3903800537]",0.3010693139,"[0.1509670150, 0.4530334881]",0.0271827939,31.5161461077,73.3567423025,85.6405115521,80.1394098224,-125.5570971441,188.5893893596
delightsam-dermoscopy,upper arm,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
delightsam-dermoscopy,upper back,54,33,54,0.6647196044,"[0.5265830079, 0.7466682250]",0.6716034924,"[0.5397769055, 0.7509807293]",0.7003628191,"[0.5628673239, 0.7961893272]",0.0287593267,14.9286032764,35.3233099600,39.7221028667,37.1557258494,-57.8966193883,87.7538259412
delightsam-dermoscopy,upper chest,90,37,90,0.5201823059,"[0.3917876336, 0.6180351392]",0.5259434457,"[0.3944641909, 0.6265205619]",0.5388841393,"[0.3955913113, 0.6721101538]",0.0129406936,11.7017111183,38.4614882665,47.2996657267,46.0860882429,-78.6270218378,102.0304440745
delightsam-dermoscopy,upper leg,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
delightsam-dermoscopy,ventral forearm,80,33,80,0.4469466451,"[0.1640731039, 0.6550564547]",0.4551145879,"[0.1835443792, 0.6603334896]",0.4689667545,"[0.1896313287, 0.6988889046]",0.0138521666,15.0351360286,44.3743226011,58.5103270561,56.9023418958,-96.4934540871,126.5637261444
vmunet-isic17,abdomen,128,43,128,0.6655581599,"[0.5680753788, 0.7178719269]",0.6725362505,"[0.5897727007, 0.7211759666]",0.7018231702,"[0.6370095073, 0.7539417621]",0.0292869198,17.3755773462,41.4692029135,47.4222118867,44.2976957675,-69.4479063581,104.1990610506
vmunet-isic17,dorsal forearm,133,40,133,0.5303836185,"[0.3785509435, 0.6635029536]",0.5332204680,"[0.3830175031, 0.6665339988]",0.5397413865,"[0.3873525708, 0.6828322515]",0.0065209185,9.9511027159,42.7672665218,54.6080238398,53.8966865501,-95.6864029223,115.5886083541
vmunet-isic17,head/neck,109,40,109,0.2738759542,"[0.1625667858, 0.3917068640]",0.2783398087,"[0.1724880439, 0.3963311572]",0.2818046017,"[0.1754405828, 0.4053094341]",0.0034647930,-11.6628320058,55.1273511679,72.2532395332,71.6351014477,-152.0676308434,128.7419668317
vmunet-isic17,lateral torso,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vmunet-isic17,lower back,121,39,121,0.7144536461,"[0.5882448483, 0.7838868801]",0.7200989173,"[0.6075360834, 0.7857824449]",0.7497438950,"[0.6622660126, 0.8110037744]",0.0296449777,16.7799781487,37.3008830841,43.5642788916,40.3701339864,-62.3454844647,95.9054407621
vmunet-isic17,lower leg,287,44,287,0.4545913999,"[0.3199647943, 0.5710797681]",0.4574339625,"[0.3252589596, 0.5732998560]",0.4622522990,"[0.3306994004, 0.5794633088]",0.0048183365,10.5309055234,54.2633791513,70.0055398722,69.3298165191,-125.3555348541,146.4173459009
vmunet-isic17,palms/soles,110,38,110,0.2688025313,"[0.1233167540, 0.3893592426]",0.2890229091,"[0.1492950393, 0.4149857057]",0.3059439243,"[0.1550360830, 0.4667925176]",0.0169210152,25.9669317807,77.9634985943,88.4567280481,84.9465147968,-140.5282372210,192.4621007823
vmunet-isic17,upper arm,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vmunet-isic17,upper back,127,43,127,0.7128426339,"[0.6169342536, 0.7693639954]",0.7152828732,"[0.6251849415, 0.7705833344]",0.7276498892,"[0.6454643426, 0.7844349308]",0.0123670160,10.5099613460,35.4139106481,40.5739402390,39.3443021485,-66.6048708652,87.6247935571
vmunet-isic17,upper chest,153,46,153,0.5588543693,"[0.4435198253, 0.6399347931]",0.5609856846,"[0.4468797025, 0.6430625362]",0.5664591745,"[0.4513951859, 0.6543397489]",0.0054734899,8.2098352937,40.6708209500,48.7147461758,48.1756613188,-86.2144608911,102.6341314785
vmunet-isic17,upper leg,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
vmunet-isic17,ventral forearm,228,42,228,0.5456368961,"[0.4035980816, 0.6419649601]",0.5524092981,"[0.4220902742, 0.6461178181]",0.5693829029,"[0.4474464654, 0.6650843281]",0.0169736049,14.4733658670,44.4521799694,54.4342132113,52.5902621025,-88.6035478539,117.5502795879
