Method,Scope,Anatomical site,ICC type,Point estimate,CI low,CI high,Bootstrap valid,Bootstrap invalid,Status,Reason,Bootstrap invalid reasons
vmunet-isic17,by_anatomical_site,dorsal forearm,"ICC(3,1)/ICC(C,1)",0.5397413865,0.3873525708,0.6828322515,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,head/neck,"ICC(1,1)",0.2738759542,0.1625667858,0.3917068640,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,head/neck,"ICC(2,1)/ICC(A,1)",0.2783398087,0.1724880439,0.3963311572,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,head/neck,"ICC(3,1)/ICC(C,1)",0.2818046017,0.1754405828,0.4053094341,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,lateral torso,"ICC(1,1)",NA,NA,NA,0,10000,not_estimable,insufficient_patients,"{""insufficient_patients"": 10000}"
vmunet-isic17,by_anatomical_site,lateral torso,"ICC(2,1)/ICC(A,1)",NA,NA,NA,0,10000,not_estimable,insufficient_patients,"{""insufficient_patients"": 10000}"
vmunet-isic17,by_anatomical_site,lateral torso,"ICC(3,1)/ICC(C,1)",NA,NA,NA,0,10000,not_estimable,insufficient_patients,"{""insufficient_patients"": 10000}"
vmunet-isic17,by_anatomical_site,lower back,"ICC(1,1)",0.7144536461,0.5882448483,0.7838868801,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,lower back,"ICC(2,1)/ICC(A,1)",0.7200989173,0.6075360834,0.7857824449,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,lower back,"ICC(3,1)/ICC(C,1)",0.7497438950,0.6622660126,0.8110037744,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,lower leg,"ICC(1,1)",0.4545913999,0.3199647943,0.5710797681,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,lower leg,"ICC(2,1)/ICC(A,1)",0.4574339625,0.3252589596,0.5732998560,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,lower leg,"ICC(3,1)/ICC(C,1)",0.4622522990,0.3306994004,0.5794633088,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,palms/soles,"ICC(1,1)",0.2688025313,0.1233167540,0.3893592426,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,palms/soles,"ICC(2,1)/ICC(A,1)",0.2890229091,0.1492950393,0.4149857057,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,palms/soles,"ICC(3,1)/ICC(C,1)",0.3059439243,0.1550360830,0.4667925176,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,upper arm,"ICC(1,1)",NA,NA,NA,0,10000,not_estimable,insufficient_patients,"{""insufficient_patients"": 10000}"
vmunet-isic17,by_anatomical_site,upper arm,"ICC(2,1)/ICC(A,1)",NA,NA,NA,0,10000,not_estimable,insufficient_patients,"{""insufficient_patients"": 10000}"
vmunet-isic17,by_anatomical_site,upper arm,"ICC(3,1)/ICC(C,1)",NA,NA,NA,0,10000,not_estimable,insufficient_patients,"{""insufficient_patients"": 10000}"
vmunet-isic17,by_anatomical_site,upper back,"ICC(1,1)",0.7128426339,0.6169342536,0.7693639954,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,upper back,"ICC(2,1)/ICC(A,1)",0.7152828732,0.6251849415,0.7705833344,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,upper back,"ICC(3,1)/ICC(C,1)",0.7276498892,0.6454643426,0.7844349308,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,upper chest,"ICC(1,1)",0.5588543693,0.4435198253,0.6399347931,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,upper chest,"ICC(2,1)/ICC(A,1)",0.5609856846,0.4468797025,0.6430625362,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,upper chest,"ICC(3,1)/ICC(C,1)",0.5664591745,0.4513951859,0.6543397489,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,upper leg,"ICC(1,1)",NA,NA,NA,0,10000,not_estimable,insufficient_patients,"{""insufficient_patients"": 10000}"
vmunet-isic17,by_anatomical_site,upper leg,"ICC(2,1)/ICC(A,1)",NA,NA,NA,0,10000,not_estimable,insufficient_patients,"{""insufficient_patients"": 10000}"
vmunet-isic17,by_anatomical_site,upper leg,"ICC(3,1)/ICC(C,1)",NA,NA,NA,0,10000,not_estimable,insufficient_patients,"{""insufficient_patients"": 10000}"
vmunet-isic17,by_anatomical_site,ventral forearm,"ICC(1,1)",0.5456368961,0.4035980816,0.6419649601,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,ventral forearm,"ICC(2,1)/ICC(A,1)",0.5524092981,0.4220902742,0.6461178181,10000,0,complete,NA,{}
vmunet-isic17,by_anatomical_site,ventral forearm,"ICC(3,1)/ICC(C,1)",0.5693829029,0.4474464654,0.6650843281,10000,0,complete,NA,{}
